Date,Description,Amount,Category
2025-01-16,Blinkit Grocer-55553,150,Food
2025-01-16,SWIGGYPAY-12478,192,Food
2025-01-16,Uber Ride-7466,108,Transport
2025-01-16,Metro Card-87057,102,Transport
2025-01-16,Rail Ticket-31407,265,Travel
2025-01-17,Movie Tickets-44761,299,Entertainment
2025-01-17,Movie Tickets-5417,87,Entertainment
2025-01-17,Blinkit Grocer-5519,165,Food
2025-01-17,Flipkart Order-7424,491,Shopping
2025-01-17,Flipkart Order-7533,94,Shopping
2025-01-17,Ola Cab-49319,71,Transport
2025-01-17,Fuel Station-80861,38,Transport
2025-01-17,Fuel Station-61564,33,Transport
2025-01-17,Metro Card-69984,166,Transport
2025-01-18,Cafe Receipt-52279,42,Food
2025-01-18,Blinkit Grocer-44158,31,Food
2025-01-18,SWIGGYPAY-12064,236,Food
2025-01-18,Myntra Store-5158,495,Shopping
2025-01-18,Flipkart Order-83247,325,Shopping
2025-01-18,AMAZONINDIA-PAY-27048,532,Shopping
2025-01-18,Uber Ride-42283,124,Transport
2025-01-18,Metro Card-72221,40,Transport
2025-01-18,Ola Cab-11675,41,Transport
2025-01-19,Spotify Subscription-13365,52,Entertainment
2025-01-19,Movie Tickets-90465,192,Entertainment
2025-01-19,Cafe Receipt-13462,157,Food
2025-01-19,SWIGGYPAY-12995,153,Food
2025-01-19,Cafe Receipt-54385,240,Food
2025-01-19,SWIGGYPAY-85689,117,Food
2025-01-19,UPI-ZOMATO-95690,270,Food
2025-01-19,SWIGGYPAY-70669,131,Food
2025-01-19,Clinic Visit-25215,518,Health
2025-01-19,Flipkart Order-84819,623,Shopping
2025-01-19,AMAZONINDIA-PAY-90562,380,Shopping
2025-01-19,Uber Ride-95000,53,Transport
2025-01-19,Ola Cab-35278,27,Transport
2025-01-20,SWIGGYPAY-96814,103,Food
2025-01-20,Cafe Receipt-2567,208,Food
2025-01-20,SWIGGYPAY-79656,141,Food
2025-01-20,SWIGGYPAY-5685,79,Food
2025-01-20,Cafe Receipt-49197,115,Food
2025-01-20,Blinkit Grocer-89426,95,Food
2025-01-20,Uber Ride-67229,70,Transport
2025-01-20,Uber Ride-7635,180,Transport
2025-01-21,Spotify Subscription-84835,198,Entertainment
2025-01-21,Blinkit Grocer-4004,29,Food
2025-01-21,Cafe Receipt-21336,178,Food
2025-01-21,UPI-ZOMATO-54462,206,Food
2025-01-21,Cafe Receipt-84516,98,Food
2025-01-21,UPI-ZOMATO-80110,115,Food
2025-01-21,SWIGGYPAY-94589,140,Food
2025-01-21,UPI-ZOMATO-99700,126,Food
2025-01-21,Flipkart Order-68630,399,Shopping
2025-01-22,Tuition Payment-8697,211,Education
2025-01-22,Blinkit Grocer-91332,100,Food
2025-01-22,UPI-ZOMATO-8883,167,Food
2025-01-22,Blinkit Grocer-63999,207,Food
2025-01-22,Blinkit Grocer-11107,122,Food
2025-01-22,SWIGGYPAY-24768,123,Food
2025-01-22,Myntra Store-40886,143,Shopping
2025-01-22,Fuel Station-22028,148,Transport
2025-01-22,Metro Card-54145,105,Transport
2025-01-22,Uber Ride-66656,73,Transport
2025-01-22,Ola Cab-14056,63,Transport
2025-01-22,Ola Cab-69752,138,Transport
2025-01-22,Metro Card-60504,82,Transport
2025-01-22,Hotel Booking-73966,1248,Travel
2025-01-23,Online Course-89033,773,Education
2025-01-23,Netflix Renewal-99645,218,Entertainment
2025-01-23,UPI-ZOMATO-24709,98,Food
2025-01-23,SWIGGYPAY-1888,204,Food
2025-01-23,SWIGGYPAY-87480,83,Food
2025-01-23,Cafe Receipt-67442,165,Food
2025-01-23,SWIGGYPAY-46380,154,Food
2025-01-23,SWIGGYPAY-88060,152,Food
2025-01-23,SWIGGYPAY-85022,177,Food
2025-01-23,SWIGGYPAY-13073,28,Food
2025-01-23,Fuel Station-90160,59,Transport
2025-01-23,Metro Card-14820,178,Transport
2025-01-23,Water Utility-25538,252,Utilities
2025-01-24,Cafe Receipt-20841,146,Food
2025-01-24,UPI-ZOMATO-54835,154,Food
2025-01-24,UPI-ZOMATO-22790,148,Food
2025-01-24,UPI-ZOMATO-64663,216,Food
2025-01-24,UPI-ZOMATO-18438,210,Food
2025-01-24,Blinkit Grocer-66332,76,Food
2025-01-24,Myntra Store-30432,107,Shopping
2025-01-24,Flipkart Order-20700,357,Shopping
2025-01-24,Ola Cab-43109,79,Transport
2025-01-24,Metro Card-40654,74,Transport
2025-01-24,Uber Ride-54546,77,Transport
2025-01-25,Cafe Receipt-23038,185,Food
2025-01-25,UPI-ZOMATO-16953,156,Food
2025-01-25,UPI-ZOMATO-44368,53,Food
2025-01-25,Cafe Receipt-35534,263,Food
2025-01-25,Ola Cab-71074,55,Transport
2025-01-25,Metro Card-16917,164,Transport
2025-01-26,Movie Tickets-36038,50,Entertainment
2025-01-26,Blinkit Grocer-59729,165,Food
2025-01-26,UPI-ZOMATO-64341,65,Food
2025-01-26,SWIGGYPAY-87112,266,Food
2025-01-26,UPI-ZOMATO-67577,53,Food
2025-01-26,UPI-ZOMATO-16996,82,Food
2025-01-26,Blinkit Grocer-49038,133,Food
2025-01-26,SWIGGYPAY-38942,111,Food
2025-01-26,UPI-ZOMATO-48377,55,Food
2025-01-26,UPI-ZOMATO-67890,105,Food
2025-01-26,SWIGGYPAY-1497,197,Food
2025-01-26,Uber Ride-10765,27,Transport
2025-01-27,Movie Tickets-35696,136,Entertainment
2025-01-27,Spotify Subscription-51123,196,Entertainment
2025-01-27,SWIGGYPAY-96237,159,Food
2025-01-27,Blinkit Grocer-84764,157,Food
2025-01-27,Blinkit Grocer-30168,137,Food
2025-01-27,Fuel Station-60653,41,Transport
2025-01-27,Fuel Station-14542,145,Transport
2025-01-28,Blinkit Grocer-37042,129,Food
2025-01-28,Blinkit Grocer-77185,46,Food
2025-01-28,Cafe Receipt-81693,190,Food
2025-01-28,SWIGGYPAY-4667,83,Food
2025-01-28,SWIGGYPAY-93686,117,Food
2025-01-28,Blinkit Grocer-41617,65,Food
2025-01-28,UPI-ZOMATO-35316,119,Food
2025-01-28,SWIGGYPAY-48083,99,Food
2025-01-28,AMAZONINDIA-PAY-59287,153,Shopping
2025-01-28,Ola Cab-5233,46,Transport
2025-01-28,Fuel Station-60167,49,Transport
2025-01-28,Broadband Bill-2914,261,Utilities
2025-01-28,Water Utility-36535,150,Utilities
2025-01-29,Cafe Receipt-8435,137,Food
2025-01-29,Blinkit Grocer-98626,178,Food
2025-01-29,Blinkit Grocer-32549,25,Food
2025-01-29,Blinkit Grocer-74496,163,Food
2025-01-29,Cafe Receipt-5519,158,Food
2025-01-29,UPI-ZOMATO-32023,200,Food
2025-01-29,Ola Cab-45073,154,Transport
2025-01-30,Movie Tickets-3898,152,Entertainment
2025-01-30,SWIGGYPAY-92025,173,Food
2025-01-30,Blinkit Grocer-64386,211,Food
2025-01-30,Blinkit Grocer-46353,95,Food
2025-01-30,UPI-ZOMATO-45485,62,Food
2025-01-30,Cafe Receipt-51594,109,Food
2025-01-30,AMAZONINDIA-PAY-60961,293,Shopping
2025-01-30,Ola Cab-44406,33,Transport
2025-01-30,Ola Cab-22617,176,Transport
2025-01-31,SWIGGYPAY-52036,77,Food
2025-01-31,SWIGGYPAY-80511,40,Food
2025-01-31,Fuel Station-12144,40,Transport
2025-01-31,Broadband Bill-89400,264,Utilities
2025-02-01,Netflix Renewal-87364,233,Entertainment
2025-02-01,UPI-ZOMATO-39225,146,Food
2025-02-01,Blinkit Grocer-24789,126,Food
2025-02-01,Cafe Receipt-91137,77,Food
2025-02-01,SWIGGYPAY-64247,246,Food
2025-02-01,Salary Credit,72537,Income
2025-02-01,AMAZONINDIA-PAY-65096,595,Shopping
2025-02-01,Flipkart Order-47768,128,Shopping
2025-02-01,Myntra Store-15964,192,Shopping
2025-02-01,Fuel Station-55586,158,Transport
2025-02-01,Fuel Station-90784,124,Transport
2025-02-01,Fuel Station-77590,45,Transport
2025-02-01,Metro Card-20584,148,Transport
2025-02-02,UPI-ZOMATO-42657,231,Food
2025-02-02,SWIGGYPAY-69651,65,Food
2025-02-02,SWIGGYPAY-88709,190,Food
2025-02-02,Cafe Receipt-51172,237,Food
2025-02-02,Blinkit Grocer-97908,47,Food
2025-02-02,Blinkit Grocer-90263,98,Food
2025-02-02,Cafe Receipt-80017,132,Food
2025-02-02,SWIGGYPAY-80863,178,Food
2025-02-02,UPI-ZOMATO-58557,31,Food
2025-02-02,Flipkart Order-77826,117,Shopping
2025-02-02,Flipkart Order-38765,396,Shopping
2025-02-03,UPI-ZOMATO-15105,179,Food
2025-02-03,Cafe Receipt-84463,196,Food
2025-02-03,Blinkit Grocer-70525,60,Food
2025-02-03,SWIGGYPAY-69932,49,Food
2025-02-03,Blinkit Grocer-7570,43,Food
2025-02-03,Cafe Receipt-93164,191,Food
2025-02-03,Blinkit Grocer-5607,208,Food
2025-02-03,SWIGGYPAY-76997,207,Food
2025-02-03,Clinic Visit-65568,105,Health
2025-02-03,NEFT-HDFC-RENT,18000,Rent
2025-02-03,Myntra Store-57423,477,Shopping
2025-02-03,Uber Ride-32821,150,Transport
2025-02-03,Uber Ride-80616,62,Transport
2025-02-03,Fuel Station-1239,140,Transport
2025-02-03,Metro Card-35357,131,Transport
2025-02-04,SWIGGYPAY-27314,165,Food
2025-02-04,SWIGGYPAY-24967,121,Food
2025-02-04,Blinkit Grocer-26684,100,Food
2025-02-04,Cafe Receipt-96974,98,Food
2025-02-04,UPI-ZOMATO-69730,135,Food
2025-02-04,UPI-ZOMATO-66425,105,Food
2025-02-04,Flipkart Order-41620,463,Shopping
2025-02-04,Ola Cab-60810,98,Transport
2025-02-05,Exam Books-86111,762,Education
2025-02-05,Spotify Subscription-56333,168,Entertainment
2025-02-05,Blinkit Grocer-27959,210,Food
2025-02-05,Blinkit Grocer-52634,216,Food
2025-02-05,Blinkit Grocer-38252,145,Food
2025-02-05,Cafe Receipt-91142,215,Food
2025-02-05,Cafe Receipt-67805,49,Food
2025-02-05,Cafe Receipt-53359,133,Food
2025-02-05,UPI-ZOMATO-96041,120,Food
2025-02-05,UPI-ZOMATO-26794,150,Food
2025-02-05,Fitness Renewal-40437,431,Health
2025-02-05,Myntra Store-49087,477,Shopping
2025-02-05,Fuel Station-20859,50,Transport
2025-02-05,Fuel Station-10379,129,Transport
2025-02-05,Fuel Station-80194,55,Transport
2025-02-05,Rail Ticket-61544,1503,Travel
2025-02-06,Online Course-63931,443,Education
2025-02-06,UPI-ZOMATO-74684,134,Food
2025-02-06,Cafe Receipt-7637,207,Food
2025-02-06,SWIGGYPAY-18675,56,Food
2025-02-06,SWIGGYPAY-42289,134,Food
2025-02-06,UPI-ZOMATO-95505,123,Food
2025-02-06,SWIGGYPAY-53442,194,Food
2025-02-06,Myntra Store-76345,393,Shopping
2025-02-06,Flipkart Order-70580,177,Shopping
2025-02-06,Uber Ride-38533,63,Transport
2025-02-06,Ola Cab-39433,175,Transport
2025-02-06,Ola Cab-12874,143,Transport
2025-02-06,Metro Card-76653,167,Transport
2025-02-06,Fuel Station-60140,48,Transport
2025-02-07,Exam Books-88758,480,Education
2025-02-07,Cafe Receipt-5277,92,Food
2025-02-07,Blinkit Grocer-34213,186,Food
2025-02-07,SWIGGYPAY-27611,40,Food
2025-02-07,UPI-ZOMATO-85233,67,Food
2025-02-07,Cafe Receipt-97178,135,Food
2025-02-07,Cafe Receipt-96684,171,Food
2025-02-07,Cafe Receipt-86469,96,Food
2025-02-07,Metro Card-51779,160,Transport
2025-02-07,Ola Cab-14339,113,Transport
2025-02-07,Uber Ride-69644,123,Transport
2025-02-07,Broadband Bill,899,Utilities
2025-02-07,Broadband Bill-28335,284,Utilities
2025-02-08,Blinkit Grocer-28252,60,Food
2025-02-08,Blinkit Grocer-48782,220,Food
2025-02-08,UPI-ZOMATO-53061,190,Food
2025-02-08,Blinkit Grocer-97669,55,Food
2025-02-08,UPI-ZOMATO-94408,32,Food
2025-02-08,Clinic Visit-28967,371,Health
2025-02-08,AMAZONINDIA-PAY-65460,471,Shopping
2025-02-08,AMAZONINDIA-PAY-56957,308,Shopping
2025-02-08,Fuel Station-84199,133,Transport
2025-02-09,SWIGGYPAY-48698,241,Food
2025-02-09,Flipkart Order-57409,515,Shopping
2025-02-09,Ola Cab-50168,37,Transport
2025-02-09,Mobile Bill-63740,343,Utilities
2025-02-09,Water Utility-19142,307,Utilities
2025-02-10,SWIGGYPAY-70290,56,Food
2025-02-10,Blinkit Grocer-92708,172,Food
2025-02-10,Blinkit Grocer-37813,49,Food
2025-02-10,Blinkit Grocer-72624,77,Food
2025-02-10,Blinkit Grocer-92297,46,Food
2025-02-10,Cafe Receipt-90950,84,Food
2025-02-10,Blinkit Grocer-74539,158,Food
2025-02-10,UPI-ZOMATO-62978,142,Food
2025-02-10,UPI-ZOMATO-22973,208,Food
2025-02-10,UPI-ZOMATO-8421,220,Food
2025-02-10,Fuel Station-62047,138,Transport
2025-02-10,Metro Card-34345,150,Transport
2025-02-11,Movie Tickets-87138,266,Entertainment
2025-02-11,SWIGGYPAY-31746,157,Food
2025-02-11,UPI-ZOMATO-9691,171,Food
2025-02-11,UPI-ZOMATO-65330,81,Food
2025-02-11,Metro Card-51297,90,Transport
2025-02-11,Uber Ride-92977,96,Transport
2025-02-11,Uber Ride-39104,171,Transport
2025-02-12,Tuition Payment-87995,797,Education
2025-02-12,Netflix Renewal,649,Entertainment
2025-02-12,Movie Tickets-66333,232,Entertainment
2025-02-12,Spotify Subscription-50481,82,Entertainment
2025-02-12,Blinkit Grocer-66032,100,Food
2025-02-12,Blinkit Grocer-20893,220,Food
2025-02-12,SWIGGYPAY-95961,148,Food
2025-02-12,Blinkit Grocer-48447,181,Food
2025-02-12,UPI-ZOMATO-98057,114,Food
2025-02-12,UPI-ZOMATO-91672,152,Food
2025-02-12,Blinkit Grocer-75099,174,Food
2025-02-12,UPI-ZOMATO-44947,57,Food
2025-02-12,Uber Ride-10937,108,Transport
2025-02-12,Uber Ride-79653,161,Transport
2025-02-12,Uber Ride-25667,94,Transport
2025-02-13,Movie Tickets-61256,115,Entertainment
2025-02-13,Blinkit Grocer-28886,60,Food
2025-02-13,SWIGGYPAY-7271,196,Food
2025-02-13,UPI-ZOMATO-45148,45,Food
2025-02-13,SWIGGYPAY-75041,151,Food
2025-02-13,SWIGGYPAY-16294,80,Food
2025-02-13,Cafe Receipt-94127,163,Food
2025-02-13,Blinkit Grocer-99420,49,Food
2025-02-13,UPI-ZOMATO-86711,169,Food
2025-02-13,Cafe Receipt-59608,27,Food
2025-02-13,Blinkit Grocer-30935,180,Food
2025-02-13,SWIGGYPAY-68233,87,Food
2025-02-13,Cafe Receipt-27137,204,Food
2025-02-13,Flipkart Order-2388,144,Shopping
2025-02-13,AMAZONINDIA-PAY-21407,385,Shopping
2025-02-13,Myntra Store-38474,82,Shopping
2025-02-13,Fuel Station-56648,155,Transport
2025-02-13,Metro Card-21096,158,Transport
2025-02-13,Ola Cab-15664,152,Transport
2025-02-13,Metro Card-78832,131,Transport
2025-02-14,UPI-ZOMATO-51944,28,Food
2025-02-14,UPI-ZOMATO-65735,84,Food
2025-02-14,UPI-ZOMATO-85313,60,Food
2025-02-14,SWIGGYPAY-25416,66,Food
2025-02-14,UPI-ZOMATO-90824,28,Food
2025-02-14,SWIGGYPAY-89588,134,Food
2025-02-14,SWIGGYPAY-98515,53,Food
2025-02-14,Clinic Visit-71645,76,Health
2025-02-14,AMAZONINDIA-PAY-43863,106,Shopping
2025-02-14,Myntra Store-72871,333,Shopping
2025-02-15,UPI-ZOMATO-7042,136,Food
2025-02-15,UPI-ZOMATO-21463,257,Food
2025-02-15,Cafe Receipt-16929,142,Food
2025-02-15,Blinkit Grocer-29291,101,Food
2025-02-15,Clinic Visit-38117,491,Health
2025-02-16,Blinkit Grocer-25569,102,Food
2025-02-16,SWIGGYPAY-97070,210,Food
2025-02-16,Cafe Receipt-78560,212,Food
2025-02-16,Blinkit Grocer-59641,62,Food
2025-02-16,Blinkit Grocer-93215,145,Food
2025-02-16,Fuel Station-82706,43,Transport
2025-02-16,Fuel Station-48160,24,Transport
2025-02-16,Metro Card-34828,179,Transport
2025-02-16,Ola Cab-33853,73,Transport
2025-02-17,Cafe Receipt-86266,156,Food
2025-02-17,SWIGGYPAY-5333,103,Food
2025-02-17,Cafe Receipt-98628,144,Food
2025-02-17,Cafe Receipt-15915,130,Food
2025-02-17,SWIGGYPAY-10014,71,Food
2025-02-17,Blinkit Grocer-29630,188,Food
2025-02-17,Blinkit Grocer-7650,113,Food
2025-02-17,Flipkart Order-52854,140,Shopping
2025-02-17,Uber Ride-9693,156,Transport
2025-02-17,Fuel Station-50993,82,Transport
2025-02-17,Ola Cab-64062,132,Transport
2025-02-17,Fuel Station-97976,88,Transport
2025-02-17,Metro Card-13798,101,Transport
2025-02-17,Hotel Booking-93977,1340,Travel
2025-02-17,Electricity Bill-31983,62,Utilities
2025-02-17,Water Utility-12903,134,Utilities
2025-02-18,SWIGGYPAY-90157,146,Food
2025-02-18,Cafe Receipt-44454,66,Food
2025-02-18,Cafe Receipt-51069,39,Food
2025-02-18,UPI-ZOMATO-99390,26,Food
2025-02-18,SWIGGYPAY-64919,94,Food
2025-02-18,Blinkit Grocer-35520,219,Food
2025-02-18,UPI-ZOMATO-7082,33,Food
2025-02-18,Blinkit Grocer-51715,176,Food
2025-02-18,Cafe Receipt-91320,81,Food
2025-02-18,Ola Cab-35533,168,Transport
2025-02-18,Ola Cab-44421,161,Transport
2025-02-18,Ola Cab-65874,130,Transport
2025-02-19,UPI-ZOMATO-45448,173,Food
2025-02-19,Cafe Receipt-62968,158,Food
2025-02-19,Cafe Receipt-34084,26,Food
2025-02-19,Blinkit Grocer-73312,118,Food
2025-02-19,Blinkit Grocer-68315,65,Food
2025-02-19,Blinkit Grocer-99931,30,Food
2025-02-19,Fitness Renewal-9334,568,Health
2025-02-19,Clinic Visit-78276,369,Health
2025-02-19,Uber Ride-92255,107,Transport
2025-02-19,Metro Card-7600,148,Transport
2025-02-19,Ola Cab-8958,171,Transport
2025-02-19,Ola Cab-94842,52,Transport
2025-02-19,Metro Card-31893,42,Transport
2025-02-20,SWIGGYPAY-65429,56,Food
2025-02-20,Blinkit Grocer-66030,198,Food
2025-02-20,SWIGGYPAY-54642,168,Food
2025-02-20,Cafe Receipt-33292,207,Food
2025-02-20,Blinkit Grocer-51428,44,Food
2025-02-20,UPI-ZOMATO-83318,62,Food
2025-02-20,Uber Ride-44094,151,Transport
2025-02-20,Fuel Station-43965,131,Transport
2025-02-20,Ola Cab-97412,155,Transport
2025-02-20,Fuel Station-58793,160,Transport
2025-02-20,Flight Fare-10198,499,Travel
2025-02-21,Online Course-90587,747,Education
2025-02-21,Cafe Receipt-36087,39,Food
2025-02-21,Blinkit Grocer-46778,71,Food
2025-02-21,Fitness Renewal-38423,325,Health
2025-02-21,Fuel Station-81401,40,Transport
2025-02-21,Uber Ride-90775,35,Transport
2025-02-21,Metro Card-64918,167,Transport
2025-02-21,Uber Ride-50751,135,Transport
2025-02-21,Rail Ticket-89267,982,Travel
2025-02-22,SWIGGYPAY-4211,58,Food
2025-02-22,SWIGGYPAY-62523,205,Food
2025-02-22,UPI-ZOMATO-75042,227,Food
2025-02-22,Cafe Receipt-75356,258,Food
2025-02-22,Cafe Receipt-6300,82,Food
2025-02-22,Pharmacy Purchase-72371,128,Health
2025-02-22,Metro Card-88861,94,Transport
2025-02-22,Uber Ride-5080,106,Transport
2025-02-23,SWIGGYPAY-4300,123,Food
2025-02-23,UPI-ZOMATO-6493,181,Food
2025-02-23,SWIGGYPAY-56071,237,Food
2025-02-23,Blinkit Grocer-64950,185,Food
2025-02-23,Cafe Receipt-87145,106,Food
2025-02-23,Myntra Store-92461,122,Shopping
2025-02-23,Ola Cab-27608,125,Transport
2025-02-23,Fuel Station-84492,65,Transport
2025-02-23,Fuel Station-75004,143,Transport
2025-02-23,Rail Ticket-36776,736,Travel
2025-02-23,Broadband Bill-99477,255,Utilities
2025-02-24,Exam Books-97090,116,Education
2025-02-24,Movie Tickets-13300,75,Entertainment
2025-02-24,SWIGGYPAY-90180,181,Food
2025-02-24,SWIGGYPAY-93359,183,Food
